window,scenario,greedy_nominal_lfr,greedy_nominal_stockout,greedy_nominal_time,greedy_nominal_n_listed,dp_nominal_lfr,dp_nominal_stockout,dp_nominal_time,dp_nominal_n_listed,cpsat_nominal_lfr,cpsat_nominal_stockout,cpsat_nominal_time,cpsat_nominal_n_listed,greedy_robust_lfr,greedy_robust_stockout,greedy_robust_time,greedy_robust_n_listed,dp_robust_lfr,dp_robust_stockout,dp_robust_time,dp_robust_n_listed,cpsat_robust_lfr,cpsat_robust_stockout,cpsat_robust_time,cpsat_robust_n_listed
0,baseline,0.20386034543668854,0.8141861347752528,0.0005590915679931641,47,0.2244744250937022,0.7954650313537307,17.16977572441101,59,0.21660054798994616,0.8075113424460139,0.21338200569152832,55,0.17521086370146868,0.8128409215351384,0.001165151596069336,43,0.20543214503164228,0.7970556899190713,17.15548801422119,51,0.19819118986523437,0.8061026051271508,0.44390296936035156,49
1,baseline,0.20138018212619557,0.8125699335459677,0.0003612041473388672,46,0.228971834643083,0.7982474835563761,17.636841773986816,54,0.22301498956003626,0.8100443272180778,0.10226798057556152,52,0.19054698134515693,0.814795926498458,0.00039076805114746094,42,0.21720039949102146,0.7899406717496599,16.61222505569458,51,0.2113993375465972,0.8022584951957085,0.10657000541687012,49
2,baseline,0.1826766482177834,0.8126546134529989,0.0003497600555419922,46,0.20500547088178148,0.8004357198029652,17.045243740081787,54,0.18783976584532447,0.8041223176427859,0.11455106735229492,52,0.17161334329423034,0.8165536930743643,0.0004260540008544922,43,0.18567690715241952,0.7973292701502613,16.408841133117676,50,0.1812730446747399,0.8081661003913849,0.41097187995910645,48
3,baseline,0.17665079485719645,0.8245628742463063,0.0004119873046875,46,0.18834732852255298,0.8073162983404478,16.93414878845215,56,0.18233201565179002,0.8207897395663798,0.20923805236816406,53,0.16240670415595337,0.8211395823132303,0.0004420280456542969,43,0.179603741682734,0.8064980594688137,16.57914710044861,51,0.17166938098753717,0.8154481586421969,0.18401193618774414,48
4,baseline,0.20516526040175284,0.8300031111899325,0.00036406517028808594,45,0.21749125013246484,0.8084516443353488,17.162017822265625,54,0.20345439629691733,0.8178436368345426,0.13162803649902344,51,0.18746075184299288,0.8233437201592069,0.0004291534423828125,43,0.20142945530904569,0.804671363234979,16.893359184265137,51,0.19448491732812118,0.8152804474336682,0.19360733032226562,48
5,baseline,0.20925911476405026,0.8114599842689049,0.0004169940948486328,44,0.21810183871251576,0.7826394076594703,17.234176874160767,54,0.2067413291981297,0.793367191263144,0.3052842617034912,51,0.19108785332735975,0.8096167835322369,0.00036597251892089844,42,0.20507375803659217,0.7847635210953042,16.886897802352905,50,0.19570125790879997,0.7927638222184136,0.09382510185241699,48
6,baseline,0.1704139211553793,0.8207768105368577,0.0004200935363769531,45,0.1810210086054651,0.7986277569049323,16.89786195755005,55,0.17463193504437782,0.8107473026798229,0.16003203392028809,51,0.15604354010071816,0.821757016863871,0.00036907196044921875,42,0.17122816518248882,0.7994394092561243,17.005292892456055,51,0.16571440319070474,0.8102770828144884,0.1495509147644043,48
7,baseline,0.1908221749273993,0.8243744675024745,0.0003650188446044922,45,0.2122241946430967,0.7975680316188793,17.176099061965942,57,0.2042348094601262,0.8122911923946888,0.2527430057525635,52,0.178696846119356,0.8232820636879059,0.00045800209045410156,42,0.20338150215639222,0.8075142667180905,16.93122100830078,51,0.19776065591149528,0.8124020264395184,0.21158504486083984,49
8,baseline,0.15343569477065866,0.8193071061698254,0.0004138946533203125,45,0.1718162619343684,0.7860764076077131,17.145478010177612,55,0.16590319930383102,0.8083124989818653,0.17743206024169922,50,0.14326852077542954,0.818055612509192,0.0004611015319824219,42,0.16135711056175506,0.7896373858453626,17.11261510848999,51,0.15740027836037115,0.8035558453680293,0.11246705055236816,48
9,baseline,0.2041335768020279,0.8270236088581173,0.0003731250762939453,45,0.22256053244854998,0.8055819212063478,17.326723098754883,55,0.21332827604907398,0.8230673605603571,0.10583114624023438,50,0.18711220972917533,0.8242935599850267,0.0004642009735107422,41,0.2027659899538056,0.8003626723153411,16.79671287536621,51,0.19879540714690108,0.8119269629880687,0.6326026916503906,48
10,baseline,0.18039230730651576,0.819486539447606,0.00044417381286621094,46,0.1983806634769965,0.7989687386458618,17.032328128814697,56,0.1932759966442415,0.8176343221004223,0.1832730770111084,51,0.16605666361212634,0.8198075076530116,0.0004737377166748047,42,0.18353618413323608,0.7969343643559285,16.757300853729248,52,0.17555148677331658,0.8099463485558622,0.11199831962585449,47
11,baseline,0.17975359115291767,0.8288822775073189,0.0003750324249267578,45,0.1943621949164127,0.8116600059414577,17.35795307159424,55,0.18638169383654193,0.8200966096341042,0.7974221706390381,52,0.17192680806094826,0.8307327876761625,0.00044274330139160156,41,0.18374272931736266,0.8049852953646276,17.023617029190063,51,0.17445015045675552,0.8169234344527975,0.17192506790161133,48
12,baseline,0.16974711698234385,0.826807536739792,0.0003781318664550781,44,0.19079161758454274,0.8037534275200511,17.365315198898315,57,0.17897017662345677,0.811087414047669,0.13361716270446777,53,0.15282074498227705,0.8284243763124498,0.0004038810729980469,40,0.17406708197692114,0.8022119026846167,16.702680826187134,51,0.16540538248987985,0.814559395684818,0.2937891483306885,47
13,baseline,0.17295724426338768,0.8192285150681928,0.0004000663757324219,45,0.1933114425746348,0.7922486000695536,16.881057024002075,58,0.18436182764501777,0.8064265144822881,0.33579492568969727,53,0.1581255887186563,0.8217254328725336,0.00048804283142089844,41,0.17799885684339473,0.7949841676960411,16.76194477081299,52,0.17223285090794402,0.8089572079859318,0.1152501106262207,48
14,baseline,0.20112662368528547,0.8175499166809235,0.0004589557647705078,45,0.22320420430180807,0.7830423505306124,16.974220991134644,57,0.21601203529354512,0.8004299297663005,0.1855607032775879,54,0.17835791171401533,0.8208204990066839,0.00043702125549316406,41,0.20401228046783526,0.7944451476714304,16.752424955368042,51,0.19802363127963352,0.8042438146432331,0.4008197784423828,49
15,baseline,0.1639900131051537,0.8126401668407194,0.0004527568817138672,46,0.18303473211323726,0.786433840952419,16.871585845947266,57,0.17300593415075044,0.7962740803281991,0.27550578117370605,54,0.1448809492857518,0.81861120204258,0.0003788471221923828,41,0.16571896882805578,0.7894557772082784,16.669798851013184,52,0.158872287277601,0.8010770638423631,0.3641781806945801,49
16,baseline,0.1806422571090027,0.8188819409084789,0.0003838539123535156,45,0.19551355753264418,0.7814834277196855,17.084537267684937,57,0.18944245355733655,0.7951230435703693,0.19866013526916504,54,0.16536576862457705,0.825201829701939,0.0004899501800537109,41,0.1872492670164932,0.7946695940908823,16.71124505996704,52,0.1769058136786108,0.8039074384983005,0.45744991302490234,49
17,baseline,0.1699063741391345,0.8065901568376402,0.000431060791015625,46,0.18379528868447667,0.765753735653582,16.792383909225464,58,0.176851838712486,0.781804123617073,0.22727704048156738,54,0.15571058829148657,0.8154293187130134,0.0005168914794921875,42,0.17251605879242052,0.7786848653588457,16.34196972846985,53,0.16878461907844933,0.7937274304166861,0.13777375221252441,49
18,baseline,0.19363527267747221,0.8118384284379683,0.0004191398620605469,46,0.21498535228636026,0.7804249412789549,16.788148403167725,58,0.2030522333608057,0.7874496309384555,0.10692691802978516,55,0.17523777977319985,0.8105703132239832,0.0003910064697265625,43,0.19273452876095828,0.7831185289556033,16.40749192237854,52,0.18279658264330406,0.7892498178119888,0.19307804107666016,50
19,baseline,0.1898161288674007,0.8104065618497593,0.0003559589385986328,47,0.21611174564919172,0.792120866149046,16.951366901397705,57,0.20594684846371666,0.8074331171198614,0.10732412338256836,53,0.1619836385617441,0.8099466812673738,0.0003750324249267578,42,0.20008810448264625,0.7944775010034623,16.562191247940063,52,0.1910338106067161,0.8007000344005688,0.2069261074066162,50
20,baseline,0.16702545782301229,0.8283191982272503,0.00037479400634765625,47,0.17794959438561903,0.7925909014348745,16.89587903022766,60,0.17196037840074477,0.808716774868079,0.2014009952545166,55,0.15508477604424942,0.8300092177692838,0.00037288665771484375,43,0.16860116007200113,0.7998565994632868,16.460325002670288,53,0.16026160067154033,0.815386616370921,0.2541351318359375,49
21,baseline,0.21205927424373422,0.815791004504582,0.000392913818359375,46,0.23967226789886018,0.7923214773976364,16.720869779586792,57,0.23238715085126266,0.7996088157879272,0.14839386940002441,55,0.19754675449849482,0.8203561985303749,0.0003681182861328125,42,0.2181193049142712,0.7896675693930227,16.340548992156982,52,0.20934771593717805,0.7982855990310411,1.0649263858795166,50
22,baseline,0.1986389974811092,0.7838874911655036,0.00035309791564941406,49,0.21798220807381247,0.7600670277765843,16.7848801612854,58,0.21703058553757676,0.7654544614894025,0.29422903060913086,56,0.178365362831016,0.7994093525171374,0.0003840923309326172,44,0.20545563449483806,0.7606447197376641,16.662853002548218,54,0.19833334504265268,0.7742102413580179,0.21967005729675293,51
23,baseline,0.18651653129337079,0.7899017310254492,0.0004069805145263672,50,0.21262905310438598,0.7587362307958719,17.053151845932007,60,0.20703360341324786,0.7756175335181336,0.29097914695739746,57,0.16240700391375146,0.8016800660279532,0.0004532337188720703,44,0.18733056729894365,0.7654959055468724,16.958963871002197,55,0.18047722028143287,0.7801835193162836,0.1094059944152832,51
24,baseline,0.20640947963531842,0.7897314165532983,0.0003719329833984375,50,0.2321579450874908,0.7683028480603348,17.32363796234131,60,0.22307861344596214,0.776417080211828,0.20414209365844727,58,0.18416526076750234,0.8015115382366221,0.0004138946533203125,45,0.2121156898763996,0.7634335802762895,16.923269033432007,56,0.19898246803365907,0.7790067172507966,0.13453388214111328,52
25,baseline,0.19414807643774934,0.8059202498382902,0.0003380775451660156,51,0.2192443446573955,0.7859035378062862,17.16171407699585,62,0.2093347443079751,0.7968842936560955,0.20176386833190918,57,0.16872705325217308,0.8038411107884322,0.00045680999755859375,46,0.19898838380761052,0.7825972111473106,16.83251690864563,56,0.19101934832153003,0.7907865958871275,0.08890485763549805,53
26,baseline,0.18980038096970964,0.8116572151041623,0.00037097930908203125,50,0.21663596599159776,0.7925146823790257,17.202704906463623,62,0.2044958677262694,0.7981113549006525,0.24197602272033691,59,0.17084538489953255,0.8063522889299547,0.00038504600524902344,46,0.19879394571696127,0.777449268591026,16.957170009613037,58,0.18465210312473135,0.7885777983411973,0.09638190269470215,54
27,baseline,0.19591117985254322,0.7979150184555478,0.00032830238342285156,49,0.23141127652878815,0.7714526227545636,17.026468992233276,62,0.2150911416232076,0.7861576725666197,0.4245777130126953,57,0.19163304009328935,0.8016176502241273,0.0004589557647705078,46,0.22069908510995914,0.7701152578026788,16.54725193977356,57,0.20519971167043427,0.7794127851890839,0.2697422504425049,54
28,baseline,0.16404039067028167,0.8081195616773107,0.00037097930908203125,51,0.18680037099084956,0.7911619507695349,16.993957996368408,62,0.17369710609135033,0.7987993970222474,0.19221210479736328,59,0.14825389646652176,0.8108917334062571,0.00045108795166015625,45,0.16665282920477165,0.7814810154109106,16.961736917495728,57,0.1593669308792089,0.7858528045806947,0.3724219799041748,55
29,baseline,0.18650924543338734,0.8205521203941387,0.0003609657287597656,49,0.20374310639743853,0.7959569967832235,17.302008152008057,63,0.19281301399567113,0.8080234039946635,0.10073018074035645,57,0.16866209448349234,0.8142505559997673,0.0003619194030761719,45,0.1900176250188107,0.7879138327774059,16.956244945526123,58,0.18281939644925083,0.8000994894705115,0.14885616302490234,54
30,baseline,0.16759354953071395,0.8756089266716942,0.0003910064697265625,48,0.17979701652695565,0.8681353413757269,17.031673192977905,60,0.1704220206681587,0.8777333128908029,0.3654327392578125,56,0.16047241078275237,0.8626396582149114,0.0004780292510986328,45,0.17229220320577066,0.8555919871972312,16.643836975097656,56,0.16558455769733096,0.86331815326251,0.1847848892211914,53
31,baseline,0.16766386798792987,0.8161947189911843,0.000431060791015625,46,0.1981069142444036,0.7942608200877815,17.111229181289673,58,0.1816527360991907,0.8050462771646006,0.26090216636657715,54,0.15926283861723833,0.815146830426035,0.00047326087951660156,43,0.17681527335166797,0.7967401629025607,17.094927310943604,50,0.1713707734281584,0.8031534790167139,0.2541360855102539,49
32,baseline,0.1429881084423545,0.833586625048838,0.00043702125549316406,45,0.16256989990981252,0.8064374928094259,17.36220407485962,58,0.1571144741306157,0.8223369163456979,0.11739587783813477,55,0.1441014208498934,0.8355919240320463,0.00040793418884277344,42,0.15248462003390656,0.8162189248032654,17.06937885284424,50,0.14536997860308568,0.823667126156762,0.3370969295501709,48
33,baseline,0.1885073851822943,0.8258705866465617,0.0004322528839111328,45,0.2102434828662936,0.8039019229415879,17.330878019332886,57,0.1967095591441929,0.812546370151854,0.11363720893859863,53,0.17918539232539776,0.8265677616483813,0.00046181678771972656,42,0.1963304276698858,0.805550657981439,16.926560878753662,51,0.18613921457449767,0.8147293833885808,0.19646620750427246,48
34,baseline,0.159271780080393,0.8282328465320714,0.0003840923309326172,44,0.1727990811455924,0.805276649884228,17.4438898563385,56,0.16509602936213402,0.812703761321812,0.09999299049377441,53,0.14469187529202046,0.8247030394897317,0.00047588348388671875,42,0.1583203594686262,0.808078582108504,16.8974449634552,50,0.15219242064075159,0.8109553075270242,0.14917802810668945,49
35,baseline,0.1692262494138405,0.8155065655711985,0.00035691261291503906,45,0.18680002977640245,0.7886499996414128,17.202439785003662,56,0.17951381844828268,0.7973560237230128,0.15674710273742676,53,0.16090322356443762,0.8240725222417795,0.0004169940948486328,41,0.16966171895079282,0.7945425900656788,16.80817198753357,50,0.16082687936917608,0.7988948390747349,0.17411494255065918,48
36,baseline,0.19223903561694414,0.8114975106740634,0.0004563331604003906,45,0.20620222443259148,0.7890628529009845,16.994590282440186,54,0.19736341647803515,0.7958404340894478,0.09138917922973633,52,0.1672502728963868,0.8114089428786392,0.0004107952117919922,42,0.18942928324096484,0.786504121838273,16.85991597175598,51,0.178363539494878,0.7947673580129961,0.10234808921813965,48
37,baseline,0.18376723155644867,0.8276210501215551,0.0003800392150878906,44,0.19909949768439816,0.8073459141556313,17.236559867858887,55,0.18955666729668985,0.8159644238372001,0.11889791488647461,52,0.17425925083275257,0.8287160520602047,0.00045418739318847656,41,0.1849055497431686,0.8061557413049085,16.79604721069336,50,0.1790859524482589,0.8160962466629439,0.3032357692718506,48
38,baseline,0.19096209368257622,0.8316273481468098,0.0003619194030761719,45,0.20641778272242958,0.8118894228101623,17.234195232391357,54,0.20113204603948268,0.8233967799129335,0.10184717178344727,52,0.1791390191125302,0.834110489359306,0.0004899501800537109,41,0.19368525695615796,0.8109140085665142,16.86685609817505,50,0.18804070053460864,0.8232112876501577,0.09551000595092773,47
39,baseline,0.1840926790312254,0.817537206851853,0.0004050731658935547,45,0.2064355344958904,0.7982999691673338,17.34809708595276,55,0.19848206998994372,0.8123034136820888,0.10188865661621094,52,0.16981387015547802,0.8200414572122615,0.00048279762268066406,42,0.19600755295327008,0.7946028718553925,16.95485210418701,51,0.18368173346154984,0.801712613705195,0.16080999374389648,49
40,baseline,0.18329636976107688,0.8192235056630193,0.0004470348358154297,45,0.20378441891450522,0.8022395636998554,17.336621046066284,55,0.19505375517977333,0.8128189244288153,0.18451976776123047,52,0.1670600085981221,0.8245918150107666,0.0003991127014160156,41,0.1903019695432893,0.7958518518834876,17.103224992752075,51,0.1807430582165335,0.8060815332177061,0.3552279472351074,48
41,baseline,0.17607775439315962,0.845316624252186,0.00044798851013183594,44,0.19448436408255487,0.825944860647898,17.232362985610962,56,0.184098887179554,0.8383618554743211,0.11065077781677246,52,0.16414519781582634,0.8466083192334605,0.0004010200500488281,41,0.1846785310227549,0.8262069405467298,17.122337102890015,50,0.17470169505554467,0.8351384482829748,0.19153118133544922,47
42,baseline,0.16862702370569285,0.8590488638918786,0.0003750324249267578,44,0.17791519856324028,0.8398491983336079,17.38145112991333,55,0.16936361636510755,0.8467174009024933,0.12342000007629395,52,0.15138960832059437,0.8559446863120264,0.00038504600524902344,40,0.1662755992755843,0.8418196549235517,17.007480144500732,49,0.1575512237098603,0.8478996202801777,0.18222379684448242,46
43,baseline,0.1931600594506331,0.8426930772289881,0.0003559589385986328,45,0.2162583653355469,0.8278568004147354,17.296555995941162,54,0.20390802015003487,0.8359300617061004,0.35055065155029297,51,0.18355330751783694,0.8440083655244177,0.0003750324249267578,40,0.20393923702594896,0.8248990670160068,17.004581689834595,49,0.1920627654378589,0.8336237782798764,0.09450125694274902,46
44,baseline,0.25042613232999944,0.8257957423452814,0.0003509521484375,43,0.26833604252139104,0.7929307476193119,17.263341188430786,54,0.26400426288502177,0.8042116500848517,0.25015687942504883,51,0.24165544642688305,0.8304183435288889,0.0003781318664550781,40,0.2559958559700604,0.8027499367415041,16.741723775863647,49,0.2423873099247935,0.8180027876161365,0.13154888153076172,45
0,high_volatility,0.21342717628951707,0.8625979587410455,0.000263214111328125,37,0.2346708403342607,0.8432967039178558,17.602769136428833,45,0.22401951758326802,0.8508260609305123,0.09380888938903809,42,0.1850357697728575,0.8620840080885279,0.00030803680419921875,34,0.20194105408288987,0.8449535400583081,17.20529794692993,40,0.19672278465830106,0.8519865339688153,0.12493276596069336,38
1,high_volatility,0.20791776513175905,0.8554936255438199,0.0002827644348144531,36,0.2259035857017603,0.835924563126979,17.52066469192505,43,0.21869019166988318,0.8462426136393063,0.11259102821350098,40,0.18849049475863527,0.8586681859869452,0.00038504600524902344,34,0.19973152187379906,0.8369176338018608,17.036524057388306,40,0.19457805828839686,0.8438066569450323,0.14759016036987305,38
2,high_volatility,0.19633447587497468,0.8587327628597587,0.00028204917907714844,37,0.21162002337256366,0.8442427041168007,17.465162992477417,42,0.20626053911687114,0.8475855274578171,0.10913801193237305,41,0.16894468464586107,0.86087008918267,0.0004010200500488281,34,0.18371822923651562,0.8418868357105975,16.951061010360718,39,0.17994023342978901,0.8475685424934604,0.173325777053833,38
3,high_volatility,0.17199716597049203,0.8662892096222263,0.0002808570861816406,37,0.184946630590162,0.8507528670758768,17.440902948379517,44,0.17807702616623755,0.8590739456950449,0.24361896514892578,41,0.15015250508260777,0.861916950831023,0.0003991127014160156,35,0.16325014319779546,0.8457640419659258,17.243500232696533,41,0.1577090138945565,0.8493747996592017,0.0922691822052002,40
4,high_volatility,0.20647196772452067,0.8600560587860768,0.0002818107604980469,37,0.22175206403408296,0.8421504955326279,17.327617168426514,43,0.2103842566912631,0.8467809787520147,0.08852100372314453,42,0.17817484015217722,0.8537151507412402,0.0003180503845214844,36,0.19602857850298777,0.8379000664828914,17.042240858078003,41,0.19001361685668278,0.8410867892270468,0.12673187255859375,40
5,high_volatility,0.20921217657412877,0.8474762525097863,0.000286102294921875,37,0.21709367532373472,0.8252673037289985,17.396876096725464,44,0.2086165996116311,0.8324166688454154,0.09069585800170898,42,0.18638293287601207,0.8454972873423537,0.0003173351287841797,36,0.21164430369276424,0.8315328401573594,17.133677005767822,41,0.20192273141382147,0.834635144125772,0.10799598693847656,40
6,high_volatility,0.16613552612500682,0.857464825655973,0.0003514289855957031,38,0.17621134447020104,0.8396395507109012,17.384573221206665,44,0.16849497753423945,0.842288318983119,0.4398970603942871,43,0.15657767604440534,0.8586697304300219,0.00032591819763183594,36,0.16600505503023094,0.8376065383150736,16.599243879318237,42,0.16274210792220078,0.8420603976070369,0.12783312797546387,41
7,high_volatility,0.2008420941578861,0.8587869134267713,0.0002808570861816406,37,0.21418104465561236,0.8393229324182566,17.075246810913086,44,0.20565155936177323,0.8467726788338859,0.14715194702148438,42,0.177670223058429,0.860019603918073,0.00034809112548828125,35,0.19990836300403417,0.83814123997794,16.837605237960815,43,0.19152129030912382,0.846639933322736,0.07005095481872559,40
8,high_volatility,0.1666898079166487,0.8553365038794218,0.00035500526428222656,37,0.18077277577177078,0.8284689460292886,17.155317306518555,46,0.1748707284285532,0.8376886776033549,0.12107992172241211,44,0.15466479864709212,0.8596142770452312,0.0003108978271484375,35,0.16799359791683463,0.8368365274824258,16.873631954193115,42,0.16556943192329215,0.8447971432629289,0.21822285652160645,40
9,high_volatility,0.19355220322499575,0.8521057772177643,0.0002899169921875,37,0.20561557806121272,0.8324546433240626,17.169190883636475,44,0.1975168372670317,0.8437065318079248,0.258425235748291,41,0.17417484770930353,0.853106340459402,0.00036406517028808594,35,0.20244248502176765,0.8366158476075395,16.75583791732788,42,0.1867974137517359,0.8394531308093307,0.09672212600708008,40
10,high_volatility,0.18229259505998738,0.8545279280547234,0.00035500526428222656,38,0.2013347523331151,0.838675381966232,17.085477828979492,45,0.19516904760732373,0.8474184666172563,0.1381547451019287,43,0.17117871795703507,0.860177346235008,0.00046181678771972656,35,0.18998938326977635,0.841966748882274,16.587371110916138,42,0.18569965297210614,0.8496000818951983,0.11397099494934082,40
