window,scenario,greedy_nominal_lfr,greedy_nominal_stockout,greedy_nominal_time,greedy_nominal_n_listed,dp_nominal_lfr,dp_nominal_stockout,dp_nominal_time,dp_nominal_n_listed,cpsat_nominal_lfr,cpsat_nominal_stockout,cpsat_nominal_time,cpsat_nominal_n_listed,greedy_robust_lfr,greedy_robust_stockout,greedy_robust_time,greedy_robust_n_listed,dp_robust_lfr,dp_robust_stockout,dp_robust_time,dp_robust_n_listed,cpsat_robust_lfr,cpsat_robust_stockout,cpsat_robust_time,cpsat_robust_n_listed
0,baseline,0.20386034543668854,0.8141861347752528,0.0009951591491699219,47,0.2244744250937022,0.7954650313537307,17.323349952697754,59,0.21660054798994616,0.8075113424460139,0.21581196784973145,55,0.17521086370146868,0.8128409215351384,0.0004649162292480469,43,0.20543214503164228,0.7970556899190713,16.887360095977783,51,0.19819118986523437,0.8061026051271508,0.22070693969726562,49
1,baseline,0.20138018212619557,0.8125699335459677,0.0004241466522216797,46,0.228971834643083,0.7982474835563761,17.00552010536194,54,0.22301498956003626,0.8100443272180778,0.08515405654907227,52,0.19054698134515693,0.814795926498458,0.0003662109375,42,0.21720039949102146,0.7899406717496599,16.721501111984253,51,0.2113993375465972,0.8022584951957085,0.13573575019836426,49
2,baseline,0.1826766482177834,0.8126546134529989,0.00033926963806152344,46,0.20500547088178148,0.8004357198029652,17.171876907348633,54,0.18783976584532447,0.8041223176427859,0.12396407127380371,52,0.17161334329423034,0.8165536930743643,0.00046181678771972656,43,0.18567690715241952,0.7973292701502613,16.946233987808228,50,0.1812730446747399,0.8081661003913849,0.3020048141479492,48
3,baseline,0.17665079485719645,0.8245628742463063,0.00039315223693847656,46,0.18834732852255298,0.8073162983404478,17.164135932922363,56,0.18233201565179002,0.8207897395663798,0.25315189361572266,53,0.16240670415595337,0.8211395823132303,0.00045108795166015625,43,0.179603741682734,0.8064980594688137,17.10697293281555,51,0.17166938098753717,0.8154481586421969,0.16533517837524414,48
4,baseline,0.20516526040175284,0.8300031111899325,0.0003688335418701172,45,0.21749125013246484,0.8084516443353488,16.040085792541504,54,0.20345439629691733,0.8178436368345426,0.1322488784790039,51,0.18746075184299288,0.8233437201592069,0.00039505958557128906,43,0.20142945530904569,0.804671363234979,17.148081064224243,51,0.19448491732812118,0.8152804474336682,0.20952296257019043,48
5,baseline,0.20925911476405026,0.8114599842689049,0.00043010711669921875,44,0.21810183871251576,0.7826394076594703,17.24736714363098,54,0.2067413291981297,0.793367191263144,0.34246301651000977,51,0.19108785332735975,0.8096167835322369,0.00036716461181640625,42,0.20507375803659217,0.7847635210953042,16.9213650226593,50,0.19570125790879997,0.7927638222184136,0.09901785850524902,48
6,baseline,0.1704139211553793,0.8207768105368577,0.0003440380096435547,45,0.1810210086054651,0.7986277569049323,17.363795042037964,55,0.17463193504437782,0.8107473026798229,0.19846796989440918,51,0.15604354010071816,0.821757016863871,0.0004417896270751953,42,0.17122816518248882,0.7994394092561243,16.823776960372925,51,0.16571440319070474,0.8102770828144884,0.15435123443603516,48
7,baseline,0.1908221749273993,0.8243744675024745,0.00035190582275390625,45,0.2122241946430967,0.7975680316188793,17.257578134536743,57,0.2042348094601262,0.8122911923946888,0.25089406967163086,52,0.178696846119356,0.8232820636879059,0.0004532337188720703,42,0.20338150215639222,0.8075142667180905,16.966709852218628,51,0.19776065591149528,0.8124020264395184,0.16981911659240723,49
8,baseline,0.15343569477065866,0.8193071061698254,0.00043892860412597656,45,0.1718162619343684,0.7860764076077131,17.264615058898926,55,0.16590319930383102,0.8083124989818653,0.15706205368041992,50,0.14326852077542954,0.818055612509192,0.0003638267517089844,42,0.16135711056175506,0.7896373858453626,16.93808603286743,51,0.15740027836037115,0.8035558453680293,0.11414623260498047,48
9,baseline,0.2041335768020279,0.8270236088581173,0.0003440380096435547,45,0.22256053244854998,0.8055819212063478,17.210134029388428,55,0.21332827604907398,0.8230673605603571,0.1135110855102539,50,0.18711220972917533,0.8242935599850267,0.00047326087951660156,41,0.2027659899538056,0.8003626723153411,16.97795605659485,51,0.19879540714690108,0.8119269629880687,0.5707330703735352,48
10,baseline,0.18039230730651576,0.819486539447606,0.0004410743713378906,46,0.1983806634769965,0.7989687386458618,17.098165035247803,56,0.1932759966442415,0.8176343221004223,0.19487428665161133,51,0.16605666361212634,0.8198075076530116,0.00045800209045410156,42,0.18353618413323608,0.7969343643559285,16.792420864105225,52,0.17555148677331658,0.8099463485558622,0.1202402114868164,47
11,baseline,0.17975359115291767,0.8288822775073189,0.00036525726318359375,45,0.1943621949164127,0.8116600059414577,17.217371940612793,55,0.18638169383654193,0.8200966096341042,0.9196281433105469,52,0.17192680806094826,0.8307327876761625,0.00037097930908203125,41,0.18374272931736266,0.8049852953646276,16.788604021072388,51,0.17445015045675552,0.8169234344527975,0.19261503219604492,48
12,baseline,0.16974711698234385,0.826807536739792,0.0003571510314941406,44,0.19079161758454274,0.8037534275200511,17.077958822250366,57,0.17897017662345677,0.811087414047669,0.13512611389160156,53,0.15282074498227705,0.8284243763124498,0.00045299530029296875,40,0.17406708197692114,0.8022119026846167,16.827497959136963,51,0.16540538248987985,0.814559395684818,0.26270365715026855,47
13,baseline,0.17295724426338768,0.8192285150681928,0.0004410743713378906,45,0.1933114425746348,0.7922486000695536,17.20383381843567,58,0.18391605504902245,0.8071239421487769,0.25876474380493164,53,0.1581255887186563,0.8217254328725336,0.00037789344787597656,41,0.17799885684339473,0.7949841676960411,16.64346981048584,52,0.17223285090794402,0.8089572079859318,0.11803007125854492,48
14,baseline,0.20112662368528547,0.8175499166809235,0.0004279613494873047,45,0.22320420430180807,0.7830423505306124,17.06574296951294,57,0.21601203529354512,0.8004299297663005,0.19073104858398438,54,0.17835791171401533,0.8208204990066839,0.00046706199645996094,41,0.20401228046783526,0.7944451476714304,16.776248931884766,51,0.19802363127963352,0.8042438146432331,0.4057881832122803,49
15,baseline,0.1639900131051537,0.8126401668407194,0.00040602684020996094,46,0.18303473211323726,0.786433840952419,16.885987043380737,57,0.17300593415075044,0.7962740803281991,0.3131687641143799,54,0.1448809492857518,0.81861120204258,0.0004761219024658203,41,0.16571896882805578,0.7894557772082784,16.498174905776978,52,0.158872287277601,0.8010770638423631,0.3629879951477051,49
16,baseline,0.1806422571090027,0.8188819409084789,0.00038623809814453125,45,0.19551355753264418,0.7814834277196855,17.197423696517944,57,0.18944245355733655,0.7951230435703693,0.21423888206481934,54,0.16536576862457705,0.825201829701939,0.0004220008850097656,41,0.1872492670164932,0.7946695940908823,16.795647859573364,52,0.1769058136786108,0.8039074384983005,0.45398783683776855,49
