,日期,订单分配给骑手的时间,订单编号
,dt,dispatch_time,order_id
0,20221017,2022-10-17 11:25,522093
1,20221017,2022-10-17 11:25,259146
2,20221017,2022-10-17 11:25,64002
3,20221017,2022-10-17 11:25,85993
4,20221017,2022-10-17 11:25,215713
5,20221017,2022-10-17 11:25,3214
6,20221017,2022-10-17 11:25,395445
7,20221017,2022-10-17 11:25,321260
8,20221017,2022-10-17 11:25,293224
9,20221017,2022-10-17 11:25,12964
10,20221017,2022-10-17 11:25,432901
11,20221017,2022-10-17 11:25,307304
12,20221017,2022-10-17 11:25,140944
13,20221017,2022-10-17 11:25,134860
14,20221017,2022-10-17 11:25,329449
15,20221017,2022-10-17 11:25,147009
16,20221017,2022-10-17 11:25,250552
17,20221017,2022-10-17 11:25,25815
18,20221017,2022-10-17 11:25,558419
19,20221017,2022-10-17 11:25,180222
20,20221017,2022-10-17 11:25,365592
21,20221017,2022-10-17 11:25,3218
22,20221017,2022-10-17 11:25,183218
23,20221017,2022-10-17 11:25,230204
24,20221017,2022-10-17 11:25,110597
25,20221017,2022-10-17 11:25,128718
26,20221017,2022-10-17 11:25,76554
27,20221017,2022-10-17 11:25,113670
28,20221017,2022-10-17 11:25,304465
29,20221017,2022-10-17 11:25,206680
30,20221017,2022-10-17 11:25,540428
31,20221017,2022-10-17 11:25,6485
32,20221017,2022-10-17 11:25,177189
33,20221017,2022-10-17 11:25,98378
34,20221017,2022-10-17 11:25,296029
35,20221017,2022-10-17 11:25,73398
36,20221017,2022-10-17 11:25,406339
37,20221017,2022-10-17 11:25,387333
38,20221017,2022-10-17 11:25,318433
39,20221017,2022-10-17 11:25,25840
40,20221017,2022-10-17 11:25,334972
41,20221017,2022-10-17 11:25,159024
42,20221017,2022-10-17 11:25,483066
43,20221017,2022-10-17 11:25,273389
44,20221017,2022-10-17 11:25,454279
45,20221017,2022-10-17 11:25,159039
46,20221017,2022-10-17 11:25,496025
47,20221017,2022-10-17 11:25,532606
48,20221017,2022-10-17 11:25,51479
49,20221017,2022-10-17 11:25,287655
50,20221017,2022-10-17 11:25,373801
51,20221017,2022-10-17 11:25,116621
52,20221017,2022-10-17 11:25,12973
53,20221017,2022-10-17 11:25,89
54,20221017,2022-10-17 11:25,22582
55,20221017,2022-10-17 11:25,480559
56,20221017,2022-10-17 11:25,88
57,20221017,2022-10-17 11:25,162151
58,20221017,2022-10-17 11:25,357227
59,20221017,2022-10-17 11:25,392759
60,20221017,2022-10-17 11:25,267686
61,20221017,2022-10-17 11:25,253371
62,20221017,2022-10-17 11:25,165207
63,20221017,2022-10-17 11:25,376533
64,20221017,2022-10-17 11:25,550663
65,20221017,2022-10-17 11:25,110606
66,20221017,2022-10-17 11:25,480562
67,20221017,2022-10-17 11:25,137869
68,20221017,2022-10-17 11:25,174195
69,20221017,2022-10-17 11:25,177190
70,20221017,2022-10-17 11:25,168121
71,20221017,2022-10-17 11:25,140945
72,20221017,2022-10-17 11:25,537895
73,20221017,2022-10-17 11:25,384548
74,20221017,2022-10-17 11:25,165208
75,20221017,2022-10-17 11:25,472659
76,20221017,2022-10-17 11:25,477934
77,20221017,2022-10-17 11:25,403629
78,20221017,2022-10-17 11:25,435627
79,20221017,2022-10-17 11:25,440996
80,20221017,2022-10-17 11:25,159019
81,20221017,2022-10-17 11:25,422236
82,20221017,2022-10-17 11:25,390033
83,20221017,2022-10-17 11:25,334973
84,20221017,2022-10-17 11:25,449043
85,20221017,2022-10-17 11:25,153048
86,20221017,2022-10-17 11:25,89106
87,20221017,2022-10-17 11:25,174193
88,20221017,2022-10-17 11:25,209744
89,20221017,2022-10-17 11:25,273387
90,20221017,2022-10-17 11:25,45035
91,20221017,2022-10-17 11:25,456864
92,20221017,2022-10-17 11:25,454280
93,20221017,2022-10-17 11:25,89135
94,20221017,2022-10-17 11:25,516904
95,20221017,2022-10-17 11:25,177195
96,20221017,2022-10-17 11:25,313018
97,20221017,2022-10-17 11:25,279195
98,20221017,2022-10-17 11:25,156047
99,20221017,2022-10-17 11:25,215710
100,20221017,2022-10-17 11:25,519413
101,20221017,2022-10-17 11:25,174196
102,20221017,2022-10-17 11:25,282034
103,20221017,2022-10-17 11:25,451738
104,20221017,2022-10-17 11:25,16099
105,20221017,2022-10-17 11:25,236055
