window,scenario,algorithm,test_start,test_end,basket_ofr,basket_lfr,basket_qfr,n_orders,n_lines,total_qty
0,baseline,cpsat_nominal,2016-02-27,2016-03-04,0.07136640557006092,0.03880070546737213,0.029512787828172786,1149,2268,3185.0599999999995
0,baseline,cpsat_robust,2016-02-27,2016-03-04,0.058311575282854654,0.031746031746031744,0.023233471268987088,1149,2268,3185.0599999999995
0,baseline,dp_nominal,2016-02-27,2016-03-04,0.07484769364664925,0.041005291005291,0.031396582795928496,1149,2268,3185.0599999999995
0,baseline,dp_robust,2016-02-27,2016-03-04,0.06005221932114883,0.03262786596119929,0.023861402924905656,1149,2268,3185.0599999999995
0,baseline,greedy_nominal,2016-02-27,2016-03-04,0.06527415143603134,0.03571428571428571,0.02668709537653922,1149,2268,3185.0599999999995
0,baseline,greedy_robust,2016-02-27,2016-03-04,0.05134899912967798,0.027336860670194002,0.02009381298939424,1149,2268,3185.0599999999995
0,high_volatility,cpsat_nominal,2016-02-27,2016-03-04,0.05134899912967798,0.0291005291005291,0.024175368752864943,1149,2268,3185.0599999999995
0,high_volatility,cpsat_robust,2016-02-27,2016-03-04,0.04351610095735422,0.023809523809523808,0.019779847161434952,1149,2268,3185.0599999999995
0,high_volatility,dp_nominal,2016-02-27,2016-03-04,0.05134899912967798,0.0291005291005291,0.024175368752864943,1149,2268,3185.0599999999995
0,high_volatility,dp_robust,2016-02-27,2016-03-04,0.04612706701479547,0.02513227513227513,0.020721744645312807,1149,2268,3185.0599999999995
0,high_volatility,greedy_nominal,2016-02-27,2016-03-04,0.044386422976501305,0.023809523809523808,0.02009381298939424,1149,2268,3185.0599999999995
0,high_volatility,greedy_robust,2016-02-27,2016-03-04,0.040905134899912966,0.021604938271604937,0.017896052193679242,1149,2268,3185.0599999999995
0,large_scale,cpsat_nominal,2016-02-27,2016-03-04,0.050478677110530897,0.02821869488536155,0.020407778817353523,1149,2268,3185.0599999999995
0,large_scale,cpsat_robust,2016-02-27,2016-03-04,0.03655352480417755,0.01984126984126984,0.014442428086127107,1149,2268,3185.0599999999995
0,large_scale,dp_nominal,2016-02-27,2016-03-04,0.05657093124456049,0.031746031746031744,0.0229195054410278,1149,2268,3185.0599999999995
0,large_scale,dp_robust,2016-02-27,2016-03-04,0.04003481288076589,0.021164021164021163,0.015384325570004962,1149,2268,3185.0599999999995
0,large_scale,greedy_nominal,2016-02-27,2016-03-04,0.038294168842471714,0.019400352733686066,0.014442428086127107,1149,2268,3185.0599999999995
0,large_scale,greedy_robust,2016-02-27,2016-03-04,0.031331592689295036,0.016313932980599646,0.011616735634493544,1149,2268,3185.0599999999995
1,baseline,cpsat_nominal,2016-03-05,2016-03-11,0.058169375534645,0.032685146876292925,0.023396126702412277,1169,2417,3633.08
1,baseline,cpsat_robust,2016-03-05,2016-03-11,0.05902480752780154,0.033098882912701695,0.023671375251852422,1169,2417,3633.08
1,baseline,dp_nominal,2016-03-05,2016-03-11,0.059880239520958084,0.033512618949110465,0.023946623801292567,1169,2417,3633.08
1,baseline,dp_robust,2016-03-05,2016-03-11,0.059880239520958084,0.033512618949110465,0.023946623801292567,1169,2417,3633.08
1,baseline,greedy_nominal,2016-03-05,2016-03-11,0.05474764756201882,0.03103020273065784,0.0222951325046517,1169,2417,3633.08
1,baseline,greedy_robust,2016-03-05,2016-03-11,0.04704875962360992,0.026065370293752586,0.01899214991136997,1169,2417,3633.08
1,high_volatility,cpsat_nominal,2016-03-05,2016-03-11,0.04362703165098375,0.023582954075299957,0.0198178955596904,1169,2417,3633.08
1,high_volatility,cpsat_robust,2016-03-05,2016-03-11,0.04020530367835757,0.021928009929664875,0.018716901361929824,1169,2417,3633.08
1,high_volatility,dp_nominal,2016-03-05,2016-03-11,0.04448246364414029,0.024824162184526273,0.02119413830689112,1169,2417,3633.08
1,high_volatility,dp_robust,2016-03-05,2016-03-11,0.041916167664670656,0.022755482002482418,0.01926739846081011,1169,2417,3633.08
1,high_volatility,greedy_nominal,2016-03-05,2016-03-11,0.041916167664670656,0.022755482002482418,0.01844165281248968,1169,2417,3633.08
1,high_volatility,greedy_robust,2016-03-05,2016-03-11,0.03592814371257485,0.01985932974762102,0.016790161515848813,1169,2417,3633.08
1,large_scale,cpsat_nominal,2016-03-05,2016-03-11,0.03849443969204448,0.01985932974762102,0.014588173120327657,1169,2417,3633.08
1,large_scale,cpsat_robust,2016-03-05,2016-03-11,0.03165098374679213,0.016549441456350848,0.012110936175366356,1169,2417,3633.08
1,large_scale,dp_nominal,2016-03-05,2016-03-11,0.04362703165098375,0.022341745966073644,0.016514912966408668,1169,2417,3633.08
1,large_scale,dp_robust,2016-03-05,2016-03-11,0.03507271171941831,0.018204385601985933,0.01293668182368679,1169,2417,3633.08
1,large_scale,greedy_nominal,2016-03-05,2016-03-11,0.033361847733105215,0.01737691352916839,0.012661433274246644,1169,2417,3633.08
1,large_scale,greedy_robust,2016-03-05,2016-03-11,0.02566295979469632,0.013239553165080678,0.009633699230405055,1169,2417,3633.08
2,baseline,cpsat_nominal,2016-03-12,2016-03-18,0.06608569353667393,0.036751837591879596,0.026778437536383745,1377,2857,4294.5
2,baseline,cpsat_robust,2016-03-12,2016-03-18,0.06027596223674655,0.0336016800840042,0.02444987775061125,1377,2857,4294.5
2,baseline,dp_nominal,2016-03-12,2016-03-18,0.07334785766158315,0.041652082604130204,0.030038421236465246,1377,2857,4294.5
2,baseline,dp_robust,2016-03-12,2016-03-18,0.06318082788671024,0.035701785089254465,0.025847013622074748,1377,2857,4294.5
