SKU,q_hybrid_v2,expected_sales_horizon_subaware,mu_horizon,presence_prob,train_mu_daily,quality_proxy_avg_price,avg_profit,v_i,w_i,u_i,h_i,b_i,f_i,window_id,train_start,train_end,test_start,test_end
3YDVF,11,8.881357012811709,18.625,0.6785714285714286,2.6607142857142856,31.77,0.0,2.59,0.84,15.885,4.7655,9.531,1.0,43,2016-10-29,2016-12-23,2016-12-24,2016-12-30
UNJKW,9,8.997466306048322,54.125,1.0,7.732142857142857,2.11,0.0,1.11,0.24,1.055,0.3165,0.633,1.0,43,2016-10-29,2016-12-23,2016-12-24,2016-12-30
E3PAN,9,8.476972735162425,17.5,0.8928571428571429,2.5,8.87,0.0,1.44,0.38,4.435,1.3305,2.661,1.0,43,2016-10-29,2016-12-23,2016-12-24,2016-12-30
DWJC4,9,8.158462417245918,20.0,0.7678571428571429,2.857142857142857,12.87,0.0,1.64,0.46,6.435,1.9305,3.861,1.0,43,2016-10-29,2016-12-23,2016-12-24,2016-12-30
C6TXL,9,8.03169881427085,18.375,0.75,2.625,4.5,0.0,1.23,0.29,2.25,0.675,1.35,1.0,43,2016-10-29,2016-12-23,2016-12-24,2016-12-30
W1ZMG,9,7.937252146675839,17.25,0.7142857142857143,2.4642857142857144,3.855,0.0,1.19,0.28,1.9275,0.5782,1.1565,1.0,43,2016-10-29,2016-12-23,2016-12-24,2016-12-30
4FT32,9,7.774342161977715,20.375,0.6607142857142857,2.9107142857142856,1.91,0.0,1.1,0.24,0.955,0.2865,0.573,1.0,43,2016-10-29,2016-12-23,2016-12-24,2016-12-30
OV1P9,9,7.733601333212866,17.25,0.8392857142857143,2.4642857142857144,6.07,0.0,1.3,0.32,3.035,0.9105,1.821,1.0,43,2016-10-29,2016-12-23,2016-12-24,2016-12-30
SJ0ZD,9,7.693873481127226,19.75,0.5892857142857143,2.8214285714285716,1.235,0.0,1.06,0.22,0.6175,0.1852,0.3705,1.0,43,2016-10-29,2016-12-23,2016-12-24,2016-12-30
PWG2Z,9,7.6611703535677025,19.75,0.6607142857142857,2.8214285714285716,5.0067,0.0,1.25,0.3,2.5033,0.751,1.502,1.0,43,2016-10-29,2016-12-23,2016-12-24,2016-12-30
F7FQ5,9,7.618269912595171,16.625,0.6964285714285714,2.375,2.43,0.0,1.12,0.25,1.215,0.3645,0.729,1.0,43,2016-10-29,2016-12-23,2016-12-24,2016-12-30
2SVKS,9,7.141083150948409,21.0,0.625,3.0,2.21,0.0,1.11,0.24,1.105,0.3315,0.663,1.0,43,2016-10-29,2016-12-23,2016-12-24,2016-12-30
6TXTJ,9,7.038360475654471,16.375,0.5714285714285714,2.3392857142857144,1.2933,0.0,1.06,0.23,0.6467,0.194,0.388,1.0,43,2016-10-29,2016-12-23,2016-12-24,2016-12-30
W53F2,9,6.757233854463875,18.75,0.6607142857142857,2.6785714285714284,1.2167,0.0,1.06,0.22,0.6083,0.1825,0.365,1.0,43,2016-10-29,2016-12-23,2016-12-24,2016-12-30
CYAX0,9,6.427246892015392,17.125,0.5,2.4464285714285716,3.6817,0.0,1.18,0.27,1.8408,0.5522,1.1045,1.0,43,2016-10-29,2016-12-23,2016-12-24,2016-12-30
