SKU,q_hybrid_v2,expected_sales_horizon_subaware,mu_horizon,presence_prob,train_mu_daily,quality_proxy_avg_price,avg_profit,v_i,w_i,u_i,h_i,b_i,f_i,window_id,train_start,train_end,test_start,test_end
UNJKW,9,8.994902956983047,46.25,1.0,6.607142857142857,2.11,0.0,1.11,0.24,1.055,0.3165,0.633,1.0,0,2016-01-02,2016-02-26,2016-02-27,2016-03-04
COWU2,9,8.767452152445816,23.375,0.9285714285714286,3.3392857142857144,4.57,0.0,1.23,0.29,2.285,0.6855,1.371,1.0,0,2016-01-02,2016-02-26,2016-02-27,2016-03-04
7GQRJ,7,5.950091087977917,14.500000000000002,0.9107142857142857,2.0714285714285716,11.65,0.0,1.58,0.43,5.825,1.7475,3.495,1.0,0,2016-01-02,2016-02-26,2016-02-27,2016-03-04
OV1P9,9,8.126780867119262,24.375,0.8928571428571429,3.482142857142857,6.07,0.0,1.3,0.32,3.035,0.9105,1.821,1.0,0,2016-01-02,2016-02-26,2016-02-27,2016-03-04
JCYBN,7,6.652681248652132,15.625,0.875,2.232142857142857,5.38,0.0,1.27,0.31,2.69,0.807,1.614,1.0,0,2016-01-02,2016-02-26,2016-02-27,2016-03-04
E3PAN,6,5.697324429111641,12.5,0.875,1.7857142857142858,8.87,0.0,1.44,0.38,4.435,1.3305,2.661,1.0,0,2016-01-02,2016-02-26,2016-02-27,2016-03-04
DMJ70,7,6.69756539959514,16.5,0.8571428571428571,2.357142857142857,5.79,0.0,1.29,0.32,2.895,0.8685,1.737,1.0,0,2016-01-02,2016-02-26,2016-02-27,2016-03-04
TL4WZ,7,6.628075233725362,15.375000000000002,0.8035714285714286,2.1964285714285716,4.0,0.0,1.2,0.28,2.0,0.6,1.2,1.0,0,2016-01-02,2016-02-26,2016-02-27,2016-03-04
51OBI,5,4.797965056038406,10.75,0.8035714285714286,1.5357142857142858,6.75,0.0,1.34,0.34,3.375,1.0125,2.025,1.0,0,2016-01-02,2016-02-26,2016-02-27,2016-03-04
CZUZX,4,3.9998496415002736,12.375,0.7857142857142857,1.7678571428571428,6.35,0.0,1.32,0.33,3.175,0.9525,1.905,1.0,0,2016-01-02,2016-02-26,2016-02-27,2016-03-04
A59HR,8,6.779734260132203,14.875,0.7678571428571429,2.125,3.12,0.0,1.16,0.26,1.56,0.468,0.936,1.0,0,2016-01-02,2016-02-26,2016-02-27,2016-03-04
536VK,3,2.9993926383004132,8.75,0.7678571428571429,1.25,6.35,0.0,1.32,0.33,3.175,0.9525,1.905,1.0,0,2016-01-02,2016-02-26,2016-02-27,2016-03-04
UQC6F,5,4.621162320850502,10.5,0.75,1.5,1.77,0.0,1.09,0.24,0.885,0.2655,0.531,1.0,0,2016-01-02,2016-02-26,2016-02-27,2016-03-04
