window_id,scenario,method,train_start,train_end,test_start,test_end,n_selected,n_stocked_positive_q,used_volume,used_weight,expected_profit_horizon,expected_sales_horizon,runtime_sec,test_total_demand,test_total_fulfilled,line_fill_rate,avg_stockout,n_listed,listed_demand_share,full_day_fill_proxy
0,baseline,hybrid_v2,2016-01-02,2016-02-26,2016-02-27,2016-03-04,120,104,799.7,201.69,-35.74133115797345,374.0383988975709,13.5366530418396,1257.0,397.0,0.3158313444709626,0.815,104,0.6539379474940334,0.0
1,baseline,hybrid_v2,2016-01-09,2016-03-04,2016-03-05,2016-03-11,120,104,799.9300000000002,201.78000000000003,-38.15117094664693,376.03449772491194,11.066227912902832,1331.0,418.0,0.3140495867768595,0.855,104,0.6799398948159279,0.0
2,baseline,hybrid_v2,2016-01-16,2016-03-11,2016-03-12,2016-03-18,120,103,799.6000000000001,201.53,1.1117698103440805,376.09160390122514,9.845355987548828,1705.0,433.0,0.25395894428152493,0.935,103,0.6434017595307918,0.0
3,baseline,hybrid_v2,2016-01-23,2016-03-18,2016-03-19,2016-03-25,120,104,799.4000000000001,201.53000000000003,-26.136100906472354,374.91387984566336,10.842440843582153,1526.0,414.0,0.2712975098296199,0.845,104,0.6887287024901704,0.0
4,baseline,hybrid_v2,2016-01-30,2016-03-25,2016-03-26,2016-04-01,120,102,798.72,201.7,-36.8181595298938,375.6102628798218,12.698834896087646,1096.0,390.0,0.35583941605839414,0.675,102,0.677007299270073,0.0
5,baseline,hybrid_v2,2016-02-06,2016-04-01,2016-04-02,2016-04-08,120,102,799.8799999999999,201.33999999999997,16.958213414798177,377.32410916646796,11.749999761581421,1643.0,419.0,0.2550213024954352,0.85,102,0.6220328667072429,0.0
6,baseline,hybrid_v2,2016-02-13,2016-04-08,2016-04-09,2016-04-15,120,104,799.6700000000001,201.26000000000002,-44.06716500577786,373.71122898106785,10.717042922973633,1435.0,423.0,0.29477351916376304,0.875,104,0.6912891986062718,0.0
7,baseline,hybrid_v2,2016-02-20,2016-04-15,2016-04-16,2016-04-22,120,102,799.6000000000001,200.61999999999995,-14.627711971262721,379.15886224203075,10.15773606300354,1450.0,419.0,0.2889655172413793,0.845,102,0.6296551724137931,0.0
8,baseline,hybrid_v2,2016-02-27,2016-04-22,2016-04-23,2016-04-29,120,103,799.4000000000001,200.85000000000002,-24.615905387820227,376.1439494329529,10.836875915527344,1380.0,400.0,0.2898550724637681,0.855,103,0.6057971014492753,0.0
9,baseline,hybrid_v2,2016-03-05,2016-04-29,2016-04-30,2016-05-06,120,103,799.8000000000002,200.39,-33.20513850687571,378.46023900510613,12.02264666557312,1482.0,417.0,0.2813765182186235,0.87,103,0.6261808367071525,0.0
