window,scenario,algorithm,sku,stock_qty
0,baseline,hybrid_v2,UNJKW,10
0,baseline,hybrid_v2,COWU2,10
0,baseline,hybrid_v2,7GQRJ,8
0,baseline,hybrid_v2,OV1P9,10
0,baseline,hybrid_v2,JCYBN,8
0,baseline,hybrid_v2,E3PAN,6
0,baseline,hybrid_v2,DMJ70,8
0,baseline,hybrid_v2,TL4WZ,8
0,baseline,hybrid_v2,51OBI,5
0,baseline,hybrid_v2,CZUZX,5
0,baseline,hybrid_v2,A59HR,9
0,baseline,hybrid_v2,536VK,4
0,baseline,hybrid_v2,UQC6F,6
0,baseline,hybrid_v2,DWJC4,9
0,baseline,hybrid_v2,ZDSYK,4
0,baseline,hybrid_v2,3YDVF,12
0,baseline,hybrid_v2,F90L2,4
0,baseline,hybrid_v2,C6TXL,10
0,baseline,hybrid_v2,SJ0ZD,10
0,baseline,hybrid_v2,QGK3S,6
0,baseline,hybrid_v2,M4TM4,5
0,baseline,hybrid_v2,EMJ1S,4
0,baseline,hybrid_v2,W1ZMG,10
0,baseline,hybrid_v2,PWG2Z,8
0,baseline,hybrid_v2,DLFQW,8
0,baseline,hybrid_v2,MRE4J,5
0,baseline,hybrid_v2,4X8P4,5
0,baseline,hybrid_v2,I36F2,3
0,baseline,hybrid_v2,4FT32,10
0,baseline,hybrid_v2,4R4F9,3
0,baseline,hybrid_v2,9STQJ,3
0,baseline,hybrid_v2,85WDI,5
0,baseline,hybrid_v2,TU0A5,3
0,baseline,hybrid_v2,LPLTZ,6
0,baseline,hybrid_v2,F7FQ5,6
0,baseline,hybrid_v2,1XG54,4
0,baseline,hybrid_v2,F79YP,4
0,baseline,hybrid_v2,WYFCJ,3
0,baseline,hybrid_v2,23Y9E,6
0,baseline,hybrid_v2,GB05L,4
0,baseline,hybrid_v2,20XCP,4
0,baseline,hybrid_v2,M6J9W,3
0,baseline,hybrid_v2,2SVKS,10
0,baseline,hybrid_v2,6TXTJ,8
0,baseline,hybrid_v2,0TLU5,8
0,baseline,hybrid_v2,IRQZ4,6
0,baseline,hybrid_v2,BW1M6,3
0,baseline,hybrid_v2,LJ26I,10
0,baseline,hybrid_v2,W53F2,8
0,baseline,hybrid_v2,8LANJ,7
0,baseline,hybrid_v2,KS95Q,4
0,baseline,hybrid_v2,ZSVWE,2
0,baseline,hybrid_v2,C7BXU,2
0,baseline,hybrid_v2,68AG2,2
0,baseline,hybrid_v2,WNBBE,7
0,baseline,hybrid_v2,X9YT7,5
0,baseline,hybrid_v2,IPVE6,4
0,baseline,hybrid_v2,7IE9S,3
0,baseline,hybrid_v2,G5878,2
0,baseline,hybrid_v2,PO1N6,3
0,baseline,hybrid_v2,IQNBU,2
0,baseline,hybrid_v2,BK9BM,2
0,baseline,hybrid_v2,6DCYD,8
0,baseline,hybrid_v2,29DS1,7
0,baseline,hybrid_v2,M3SY1,5
0,baseline,hybrid_v2,B87MU,4
0,baseline,hybrid_v2,O3VWQ,4
0,baseline,hybrid_v2,IFUHU,3
0,baseline,hybrid_v2,5TPXK,3
0,baseline,hybrid_v2,GZN4P,2
0,baseline,hybrid_v2,7QUXS,2
0,baseline,hybrid_v2,68BRQ,2
