window,scenario,hybrid_v2_lfr,hybrid_v2_stockout,hybrid_v2_time,hybrid_v2_n_listed
0,baseline,0.3158313444709626,0.815,13.5366530418396,104
1,baseline,0.3140495867768595,0.855,11.066227912902832,104
2,baseline,0.25395894428152493,0.935,9.845355987548828,103
3,baseline,0.2712975098296199,0.845,10.842440843582153,104
4,baseline,0.35583941605839414,0.675,12.698834896087646,102
5,baseline,0.2550213024954352,0.85,11.749999761581421,102
6,baseline,0.29477351916376304,0.875,10.717042922973633,104
7,baseline,0.2889655172413793,0.845,10.15773606300354,102
8,baseline,0.2898550724637681,0.855,10.836875915527344,103
9,baseline,0.2813765182186235,0.87,12.02264666557312,103
10,baseline,0.2754766600920447,0.905,12.142516136169434,106
11,baseline,0.25443786982248523,0.91,12.249578952789307,104
12,baseline,0.27647058823529413,0.9,13.420737981796265,105
13,baseline,0.3282868525896414,0.805,11.327043771743774,105
14,baseline,0.28454731109598363,0.845,11.541767120361328,104
15,baseline,0.3034379671150972,0.79,10.965539932250977,106
16,baseline,0.29114850036576445,0.83,13.757816791534424,105
17,baseline,0.3202614379084967,0.78,12.243006229400635,107
18,baseline,0.29581749049429656,0.805,11.73881483078003,109
19,baseline,0.240858966918166,0.875,13.466987133026123,103
20,baseline,0.3078089461713419,0.83,12.214769840240479,104
21,baseline,0.3644148430066603,0.71,10.045627117156982,104
22,baseline,0.34106529209621994,0.755,8.179282188415527,105
23,baseline,0.3556561085972851,0.76,8.274360179901123,107
24,baseline,0.297627606038821,0.84,8.211759090423584,109
25,baseline,0.2702523240371846,0.785,18.37966299057007,104
26,baseline,0.3515418502202643,0.785,4.229726076126099,106
27,baseline,0.25605095541401274,0.82,16.642355918884277,105
28,baseline,0.2755905511811024,0.865,15.424129962921143,107
29,baseline,0.22051824431517716,0.905,17.590052843093872,107
30,baseline,0.24984984984984984,0.865,11.359450101852417,108
31,baseline,0.23279816513761467,0.875,14.69380497932434,106
32,baseline,0.2617801047120419,0.845,15.264900207519531,110
33,baseline,0.2469733656174334,0.875,16.18822717666626,108
34,baseline,0.24643962848297213,0.835,14.535288095474243,108
35,baseline,0.3161993769470405,0.8,15.846619129180908,105
36,baseline,0.27834351663272233,0.86,15.094665050506592,108
37,baseline,0.28049620951068227,0.86,20.083135843276978,108
38,baseline,0.2787794729542302,0.83,14.706394910812378,106
39,baseline,0.27485380116959063,0.905,14.639354944229126,105
40,baseline,0.24954900781719783,0.875,16.148499011993408,104
41,baseline,0.2200102092904543,0.9,15.236975908279419,106
42,baseline,0.22547974413646055,0.895,19.80846118927002,104
43,baseline,0.3543123543123543,0.585,14.918249130249023,107
