window,scenario,algorithm,sku,stock_qty
0,baseline,greedy_nominal,3YDVF,15
0,baseline,greedy_nominal,DWJC4,15
0,baseline,greedy_nominal,COWU2,15
0,baseline,greedy_nominal,TL4WZ,15
0,baseline,greedy_nominal,CZUZX,15
0,baseline,greedy_nominal,LJ26I,15
0,baseline,greedy_nominal,QGK3S,15
0,baseline,greedy_nominal,DMJ70,15
0,baseline,greedy_nominal,M4TM4,13
0,baseline,greedy_nominal,E3PAN,15
0,baseline,greedy_nominal,4X8P4,14
0,baseline,greedy_nominal,7GQRJ,15
0,baseline,greedy_nominal,EMJ1S,11
0,baseline,greedy_nominal,536VK,11
0,baseline,greedy_nominal,JCYBN,15
0,baseline,greedy_nominal,51OBI,15
0,baseline,greedy_nominal,F79YP,10
0,baseline,greedy_nominal,H87RV,7
0,baseline,greedy_nominal,2WKBS,12
0,baseline,greedy_nominal,20XCP,11
0,baseline,greedy_nominal,4R4F9,9
0,baseline,greedy_nominal,ZSVWE,7
0,baseline,greedy_nominal,B87MU,11
0,baseline,greedy_nominal,IRQZ4,13
0,baseline,greedy_nominal,JJ9FT,9
0,baseline,greedy_nominal,9STQJ,9
0,baseline,greedy_nominal,IFUHU,10
0,baseline,greedy_nominal,C7BXU,7
0,baseline,greedy_nominal,I36F2,8
0,baseline,greedy_nominal,7IE9S,7
0,baseline,greedy_nominal,68BRQ,7
0,baseline,greedy_nominal,IQNBU,6
0,baseline,greedy_nominal,JO2C3,6
0,baseline,greedy_nominal,TU0A5,8
0,baseline,greedy_nominal,WYFCJ,9
0,baseline,greedy_nominal,9J5RX,4
0,baseline,greedy_nominal,9QP7J,4
0,baseline,greedy_nominal,X59YE,6
0,baseline,greedy_nominal,IQYAY,4
0,baseline,greedy_nominal,68AG2,6
0,baseline,greedy_nominal,FZM7U,5
0,baseline,greedy_nominal,BK9BM,6
0,baseline,greedy_nominal,RBNO8,6
0,baseline,greedy_nominal,FUPBO,7
0,baseline,greedy_nominal,1MR3E,5
0,baseline,greedy_nominal,0OZBT,4
0,baseline,greedy_nominal,G5878,7
0,baseline,dp_nominal,3YDVF,15
0,baseline,dp_nominal,DWJC4,15
0,baseline,dp_nominal,COWU2,15
0,baseline,dp_nominal,M6J9W,8
0,baseline,dp_nominal,TL4WZ,14
0,baseline,dp_nominal,CZUZX,12
0,baseline,dp_nominal,LJ26I,15
0,baseline,dp_nominal,QGK3S,13
0,baseline,dp_nominal,DMJ70,15
0,baseline,dp_nominal,9Y7M0,12
0,baseline,dp_nominal,M4TM4,10
0,baseline,dp_nominal,E3PAN,15
0,baseline,dp_nominal,4X8P4,11
0,baseline,dp_nominal,7GQRJ,15
0,baseline,dp_nominal,EMJ1S,9
0,baseline,dp_nominal,536VK,9
0,baseline,dp_nominal,JCYBN,14
0,baseline,dp_nominal,51OBI,11
0,baseline,dp_nominal,F79YP,7
0,baseline,dp_nominal,A9P11,8
0,baseline,dp_nominal,H87RV,6
0,baseline,dp_nominal,2WKBS,9
0,baseline,dp_nominal,20XCP,10
0,baseline,dp_nominal,4R4F9,8
0,baseline,dp_nominal,IPVE6,8
0,baseline,dp_nominal,KS95Q,10
0,baseline,dp_nominal,ZSVWE,6
0,baseline,dp_nominal,B87MU,10
0,baseline,dp_nominal,IRQZ4,12
0,baseline,dp_nominal,JJ9FT,8
0,baseline,dp_nominal,9STQJ,8
