window,scenario,algorithm,sku,stock_qty
0,baseline,literature_nominal,3YDVF,15
0,baseline,literature_nominal,DWJC4,15
0,baseline,literature_nominal,COWU2,15
0,baseline,literature_nominal,M6J9W,7
0,baseline,literature_nominal,TL4WZ,15
0,baseline,literature_nominal,CZUZX,13
0,baseline,literature_nominal,LJ26I,15
0,baseline,literature_nominal,QGK3S,12
0,baseline,literature_nominal,DMJ70,15
0,baseline,literature_nominal,9Y7M0,12
0,baseline,literature_nominal,M4TM4,11
0,baseline,literature_nominal,E3PAN,15
0,baseline,literature_nominal,4X8P4,10
0,baseline,literature_nominal,7GQRJ,15
0,baseline,literature_nominal,EMJ1S,9
0,baseline,literature_nominal,536VK,9
0,baseline,literature_nominal,JCYBN,15
0,baseline,literature_nominal,51OBI,12
0,baseline,literature_nominal,F79YP,8
0,baseline,literature_nominal,A9P11,8
0,baseline,literature_nominal,H87RV,6
0,baseline,literature_nominal,2WKBS,9
0,baseline,literature_nominal,20XCP,9
0,baseline,literature_nominal,4R4F9,8
0,baseline,literature_nominal,ZSVWE,6
0,baseline,literature_nominal,B87MU,10
0,baseline,literature_nominal,IRQZ4,11
0,baseline,literature_nominal,JJ9FT,7
0,baseline,literature_nominal,9STQJ,8
0,baseline,literature_nominal,IFUHU,7
0,baseline,literature_nominal,I36F2,7
0,baseline,literature_nominal,C7BXU,6
0,baseline,literature_nominal,7IE9S,6
0,baseline,literature_nominal,68BRQ,5
0,baseline,literature_nominal,IQNBU,5
0,baseline,literature_nominal,X5TFY,5
0,baseline,literature_nominal,ABFD7,5
0,baseline,literature_nominal,JO2C3,5
0,baseline,literature_nominal,2IA22,5
0,baseline,literature_nominal,TU0A5,7
0,baseline,literature_nominal,LQ555,5
0,baseline,literature_nominal,WYFCJ,7
0,baseline,literature_nominal,9J5RX,3
0,baseline,literature_nominal,9QP7J,3
0,baseline,literature_nominal,X59YE,5
0,baseline,literature_nominal,520UE,3
0,baseline,literature_nominal,IQYAY,4
0,baseline,literature_nominal,68AG2,5
0,baseline,literature_nominal,FZM7U,4
0,baseline,literature_nominal,BK9BM,5
0,baseline,literature_nominal,RBNO8,5
