window,scenario,hybrid_v2_lfr,hybrid_v2_stockout,hybrid_v2_time,hybrid_v2_n_listed
0,baseline,0.411296738265712,0.775,15.28859806060791,120
1,baseline,0.4004507888805409,0.815,15.209037065505981,120
2,baseline,0.32023460410557186,0.895,15.497058153152466,120
3,baseline,0.34600262123197906,0.8,15.345396041870117,120
4,baseline,0.41332116788321166,0.61,15.444817066192627,120
5,baseline,0.31101643335362145,0.795,15.419448852539062,120
6,baseline,0.37142857142857144,0.835,15.441213846206665,120
7,baseline,0.3606896551724138,0.805,13.493459224700928,120
8,baseline,0.37028985507246376,0.81,13.18598198890686,120
9,baseline,0.3623481781376518,0.85,13.026315212249756,120
10,baseline,0.358974358974359,0.865,13.07176399230957,120
11,baseline,0.33136094674556216,0.865,12.907371044158936,120
12,baseline,0.3352941176470588,0.885,12.926845073699951,120
13,baseline,0.40398406374501994,0.77,12.956494092941284,120
14,baseline,0.33968686181075564,0.805,12.892810106277466,120
15,baseline,0.38714499252615847,0.75,13.065759897232056,120
16,baseline,0.38039502560351135,0.785,12.834301948547363,120
17,baseline,0.3897058823529412,0.755,12.976141929626465,120
18,baseline,0.3665399239543726,0.765,12.945900917053223,120
19,baseline,0.3029599535693558,0.805,12.945075750350952,120
20,baseline,0.3912054586808188,0.79,12.92241382598877,120
21,baseline,0.4490960989533777,0.63,13.060455322265625,120
22,baseline,0.41580756013745707,0.7,13.429184913635254,120
23,baseline,0.43529411764705883,0.7,13.67668628692627,120
24,baseline,0.36520488856937455,0.795,12.937838792800903,120
25,baseline,0.3339973439575033,0.76,13.080373048782349,120
26,baseline,0.42555066079295156,0.705,13.296658039093018,120
27,baseline,0.32420382165605094,0.76,13.062646865844727,120
28,baseline,0.3536745406824147,0.825,13.3957359790802,120
29,baseline,0.2808038075092544,0.88,13.060602188110352,120
30,baseline,0.3105105105105105,0.825,12.995354890823364,120
31,baseline,0.29759174311926606,0.82,13.04000997543335,120
32,baseline,0.3324607329842932,0.805,12.959805965423584,120
33,baseline,0.31658595641646486,0.845,12.873816967010498,120
34,baseline,0.31331269349845203,0.775,12.635887861251831,120
35,baseline,0.39330218068535827,0.755,12.73106575012207,120
36,baseline,0.351663272233537,0.825,12.76644492149353,120
37,baseline,0.36044107512060647,0.825,12.903313159942627,120
38,baseline,0.3418862690707351,0.79,12.778185844421387,120
39,baseline,0.36257309941520466,0.845,12.879937887191772,120
40,baseline,0.31870114251352977,0.84,12.865652084350586,120
41,baseline,0.28534966819806024,0.88,12.85905408859253,120
42,baseline,0.27665245202558636,0.88,12.776301145553589,120
43,baseline,0.4114219114219114,0.525,12.757110834121704,120
